Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
45,45,1998-02-03,@,MIL,L,78,82,30,69,.435,5,16,.313,13,13,1.000,10,38,18,12,0,24,20,,32,71,.451,3,5,.600,15,21,.714,9,35,20,15,3,16,17
46,46,1998-02-04,@,MIN,L,88,95,30,70,.429,7,17,.412,21,28,.750,6,35,20,6,3,16,25,,38,79,.481,1,6,.167,18,23,.783,8,36,31,7,3,14,23
47,47,1998-02-10,,CHH,W,99,91,39,76,.513,5,13,.385,16,21,.762,11,37,24,4,4,13,21,,31,73,.425,5,10,.500,24,33,.727,17,40,18,8,1,12,22
48,48,1998-02-13,@,ORL,W,99,83,38,67,.567,3,10,.300,20,27,.741,12,39,23,8,4,15,28,,29,77,.377,0,7,.000,25,33,.758,14,34,19,8,5,11,21
49,49,1998-02-15,,CLE,W,102,91,34,76,.447,7,19,.368,27,30,.900,12,45,19,8,3,14,25,,34,81,.420,4,11,.364,19,30,.633,12,38,26,7,0,13,22
50,50,1998-02-17,@,DEN,W,91,77,34,79,.430,8,17,.471,15,23,.652,16,46,18,6,3,9,17,,31,78,.397,3,13,.231,12,19,.632,16,43,14,5,9,9,23
51,51,1998-02-18,@,UTA,L,78,94,32,77,.416,3,15,.200,11,23,.478,10,39,14,10,3,16,28,,32,70,.457,2,7,.286,28,40,.700,12,44,22,15,5,11,18
52,52,1998-02-20,@,POR,W,98,89,39,79,.494,3,11,.273,17,24,.708,15,39,26,8,4,16,22,,28,69,.406,2,18,.111,31,36,.861,10,36,14,6,2,17,24
53,53,1998-02-22,,HOU,W,92,74,38,84,.452,10,19,.526,6,8,.750,13,51,21,8,3,13,16,,29,77,.377,4,16,.250,12,17,.706,7,38,15,9,1,15,12
54,54,1998-02-24,,GSW,L,82,87,32,79,.405,6,20,.300,12,16,.750,11,46,19,10,3,17,22,,35,86,.407,1,9,.111,16,18,.889,13,46,18,9,6,12,14
